Brand,Model Name,Model Image,Technology,2G bands,Status,SIM,Resolution,OS,Internal,Video,,
acer,Acer Iconia Tab A110,https://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-a210.jpg,No cellular connectivity,N/A,Discontinued,No,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Android 4.1 (Jelly Bean),"8 GB, 1 GB RAM",720p@30fps,,
acer,Acer Liquid Z110,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Discontinued,"Dual SIM (Mini-SIM, dual stand-by)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",Android 2.3 (Gingerbread),"4 GB, 512 MB RAM",Yes,,
acer,Acer Liquid Gallant E350,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-gallant-e350.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Discontinued,Mini-SIM,"540 x 960 pixels, 16:9 ratio (~256 ppi density)",Android 4.0.3 (Ice Cream Sandwich),"4 GB, 1 GB RAM",Yes,,
acer,Acer Liquid Gallant Duo,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-gallant-duo-new.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Discontinued,Dual SIM (Mini-SIM),"540 x 960 pixels, 16:9 ratio (~256 ppi density)",Android 4.0.3 (Ice Cream Sandwich),"4 GB, 1 GB RAM",Yes,,
acer,Acer Liquid Glow E330,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-glow.jpg,GSM / HSPA,GSM 900 / 1800 / 1900,Discontinued,Mini-SIM,"480 x 800 pixels, 5:3 ratio (~252 ppi density)",Android 4.0 (Ice Cream Sandwich),"1 GB, 512 MB RAM",Yes,,
acer,Acer CloudMobile S500,https://cdn2.gsmarena.com/vv/bigpic/Acer-CloudMobile.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Discontinued,Micro-SIM,"720 x 1280 pixels, 16:9 ratio (~342 ppi density)",Android 4.0 (Ice Cream Sandwich),"8 GB, 1 GB RAM",1080p@30fps,,
acer,Acer Iconia Tab A210,https://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-a200.jpg,No cellular connectivity,N/A,Discontinued,No,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)","Android 4.0 (Ice Cream Sandwich), upgradable to 4.1 (Jelly Bean)","8/16 GB, 1 GB RAM",Yes,,
acer,Acer Iconia Tab A200,https://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-a200.jpg,No cellular connectivity,N/A,Discontinued,No,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)","Android 3.2 (Honeycomb), upgradable to 4.0 (Ice Cream Sandwich)","8/16 GB, 1 GB RAM",Yes,,
acer,Acer Iconia Tab A701,https://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-a700.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Discontinued,Mini-SIM,"1920 x 1200 pixels, 16:10 ratio (~224 ppi density)",Android 4.0 (Ice Cream Sandwich),"16/32/64 GB, 1 GB RAM",720p,,
acer,Acer Iconia Tab A700,https://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-a700.jpg,No cellular connectivity,N/A,Discontinued,No,"1920 x 1200 pixels, 16:10 ratio (~224 ppi density)",Android 4.0 (Ice Cream Sandwich),"16/32/64 GB, 1 GB RAM",720p,,
